clientid,transactiondate,inflows,outflows,balance,inflow_spike,outflow_spike,client_tenure,cumulativeincome,anomaly_score_pred
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-19,0.0,0.0,10125088.734657,0,0,-0.712187355872637,2.78120839862597,5.817688110050264
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-20,0.0,0.0,10127430.744286,0,0,-0.6964027787003286,2.9282588068753337,5.893972150734522
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-21,0.0,0.0,10129793.394382,0,0,-0.6806182015280201,3.076605191478178,5.985096694674493
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-22,0.0,0.0,10132155.822662,0,0,-0.6648336243557117,3.224937648668875,6.0879399530248755
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-23,0.0,0.0,10134410.20982,0,0,-0.6490490471834032,3.3664864056983546,6.196710688551169
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-24,0.0,0.0,10136868.360569,0,0,-0.6332644700110946,3.5208290978474355,6.3200970160924586
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-25,0.0,0.0,10139222.312652,0,0,-0.6174798928387862,3.6686293504674006,6.454770465279601
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-26,0.0,0.0,10141576.043485,0,0,-0.6016953156664777,3.8164157112133004,6.587896069977084
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-27,0.0,0.0,10143919.205377,0,0,-0.5859107384941693,3.963538467903278,6.726786416587892
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-28,0.0,0.0,10146265.836009,0,0,-0.5701261613218608,4.110879020296055,6.87206795842142
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-29,0.0,0.0,10148612.24587,0,0,-0.5543415841495523,4.258205710890282,7.023967418281584
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-30,0.0,0.0,10150959.45337,0,0,-0.5385570069772438,4.405582483746825,7.1795963229696635
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-12-31,0.0,0.0,10153298.221759,0,0,-0.5227724298049353,4.552429380593275,7.343261822502714
BE8FB756-BC96-EF11-B2FF-005056A80461,2025-01-01,0.0,0.0,10155615.153385,0,0,-0.5069878526326269,0.005152579984365769,10.913298761956083
BE8FB756-BC96-EF11-B2FF-005056A80461,2025-01-02,0.0,0.0,10157923.460993,0,0,-0.4912032754603184,0.15008690131183478,11.96227577592849
BE8FB756-BC96-EF11-B2FF-005056A80461,2025-01-03,0.0,0.0,10160192.391259,0,0,-0.4754186982880099,0.2925487929169089,12.65351416274208
BE8FB756-BC96-EF11-B2FF-005056A80461,2025-01-04,0.0,0.0,10162506.309525,0,0,-0.4596341211157014,0.4378353969759395,12.560856780150388
